indicativo,nombre,lat,lon,altitud
0201D,"BARCELONA, PORT OLÍMPIC",41.39055555555556,2.2,26
1024E,"DONOSTIA / SAN SEBASTIÁN, IGELDO",43.30638888888888,-2.041111111111111,250
1111,SANTANDER,43.49111111111111,-3.800555555555556,52
1249X,OVIEDO,43.35333333333333,-5.87388888888889,334
1387,A CORUÑA,43.365833333333335,-8.421388888888888,57
1549,PONFERRADA,42.56388888888888,-6.6,532
2030,SORIA,41.775,-2.483055555555556,1081
2422,VALLADOLID,41.64055555555556,-4.754166666666666,734
2462,PUERTO DE NAVACERRADA,40.79333333333333,-4.010833333333333,1892
2661,"LEÓN, VIRGEN DEL CAMINO",42.58833333333334,-5.651111111111112,916
2867,SALAMANCA AEROPUERTO,40.95944444444445,-5.498333333333333,790
3194U,"MADRID, CIUDAD UNIVERSITARIA",40.45166666666667,-3.724166666666666,664
3260B,TOLEDO,39.88472222222222,-4.045277777777778,513
3469A,CÁCERES,39.47138888888889,-6.338888888888889,394
4121,CIUDAD REAL,38.98916666666667,-3.9202777777777778,626
4478X,BADAJOZ,38.88611111111111,-7.009444444444444,174
4642E,"HUELVA, RONDA ESTE",37.27833333333333,-6.911666666666667,18
5402,CÓRDOBA AEROPUERTO,37.848888888888894,-4.846666666666667,90
5514,GRANADA BASE AÉREA,37.13722222222222,-3.631388888888889,687
5860E,"MOGUER, EL ARENOSILLO",37.09805555555556,-6.738055555555556,41
5973,CÁDIZ,36.49972222222223,-6.257777777777778,2
6156X,"MÁLAGA, CENTRO METEOROLÓGICO",36.717777777777776,-4.4816666666666665,54
6325O,ALMERÍA AEROPUERTO,36.84638888888889,-2.3569444444444447,21
7178I,MURCIA,38.00194444444445,-1.1708333333333334,62
8178D,ALBACETE,39.00555555555555,-1.8622222222222224,674
8368U,TERUEL,40.35083333333333,-1.1241666666666668,902
8414A,VALENCIA AEROPUERTO,39.485,-0.4747222222222222,56
9170,"LOGROÑO, AEROPUERTO",42.45222222222223,-2.331111111111111,353
9771C,LLEIDA,41.62611111111112,0.5980555555555556,186
9981A,ESTACIÓN DE TORTOSA (ROQUETES),40.82027777777778,0.4933333333333333,50
B228,"PALMA, PUERTO",39.55416666666667,2.625277777777778,3
C430E,IZAÑA,28.308333333333334,-16.499722222222225,2369
C449C,STA.CRUZ DE TENERIFE,28.46333333333333,-16.255277777777778,36
C639M,"MASPALOMAS, C. INSULAR TURISMO",27.758055555555558,-15.575555555555557,45
