cod,provincia,nome,alt,data,insolacao,lat,lon
0016A,TARRAGONA,REUS AEROPUERTO,71,2025-12-29 00:00:00,"0,5",41.144999999999996,1.163611111111111
0016A,TARRAGONA,REUS AEROPUERTO,71,2025-12-30 00:00:00,"8,8",41.144999999999996,1.163611111111111
0016A,TARRAGONA,REUS AEROPUERTO,71,2025-12-31 00:00:00,"8,0",41.144999999999996,1.163611111111111
0016A,TARRAGONA,REUS AEROPUERTO,71,2025-12-01,"8,9",41.145,1.163611111111111
0016A,TARRAGONA,REUS AEROPUERTO,71,2025-12-02,"3,6",41.145,1.163611111111111
0016A,TARRAGONA,REUS AEROPUERTO,71,2025-12-03,"9,0",41.145,1.163611111111111
0016A,TARRAGONA,REUS AEROPUERTO,71,2025-12-04,"1,5",41.145,1.163611111111111
0016A,TARRAGONA,REUS AEROPUERTO,71,2025-12-05,"8,2",41.145,1.163611111111111
0016A,TARRAGONA,REUS AEROPUERTO,71,2025-12-06,"3,5",41.145,1.163611111111111
0016A,TARRAGONA,REUS AEROPUERTO,71,2025-12-07,"6,9",41.145,1.163611111111111
0016A,TARRAGONA,REUS AEROPUERTO,71,2025-12-08,"8,9",41.145,1.163611111111111
0016A,TARRAGONA,REUS AEROPUERTO,71,2025-12-09,"5,6",41.145,1.163611111111111
0016A,TARRAGONA,REUS AEROPUERTO,71,2025-12-10,"7,1",41.145,1.163611111111111
0016A,TARRAGONA,REUS AEROPUERTO,71,2025-12-11,"3,2",41.145,1.163611111111111
0016A,TARRAGONA,REUS AEROPUERTO,71,2025-12-12,"3,8",41.145,1.163611111111111
0016A,TARRAGONA,REUS AEROPUERTO,71,2025-12-13,"2,1",41.145,1.163611111111111
0016A,TARRAGONA,REUS AEROPUERTO,71,2025-12-14,"1,4",41.145,1.163611111111111
0016A,TARRAGONA,REUS AEROPUERTO,71,2025-12-15 00:00:00,"0,0",41.145,1.163611111111111
0016A,TARRAGONA,REUS AEROPUERTO,71,2025-12-16 00:00:00,"0,3",41.145,1.163611111111111
0016A,TARRAGONA,REUS AEROPUERTO,71,2025-12-17 00:00:00,"2,9",41.145,1.163611111111111
