provincia,latitud,longitud,altitud,indicativo,nombre,indsinop
ILLES BALEARS,394924N,025309E,490,B013X,"ESCORCA, LLUC",08304
ILLES BALEARS,394744N,024129E,5,B051A,"SÓLLER, PUERTO",08316
ILLES BALEARS,394121N,023046E,60,B087X,BANYALBUFAR,
ILLES BALEARS,393446N,022208E,52,B103B,ANDRATX - SANT ELM,
BALEARES,393305N,022759E,50,B158X,"CALVIÀ, ES CAPDELLÀ",
ILLES BALEARS,393315N,023731E,3,B228,"PALMA, PUERTO",08301
ILLES BALEARS,393832N,023838E,95,B236C,"PALMA, UNIVERSITAT",
ILLES BALEARS,394406N,024247E,1030,B248,"SIERRA DE ALFABIA, BUNYOLA",08303
BALEARES,393621N,024224E,47,B275E,"SON BONET, AEROPUERTO",08302
BALEARES,393339N,024412E,5,B278,"PALMA DE MALLORCA, AEROPUERTO",08306
ILLES BALEARS,392247N,024706E,113,B301,"LLUCMAJOR, CAP BLANC",08308
ILLES BALEARS,392944N,025330E,140,B334X,LLUCMAJOR,
ILLES BALEARS,393022N,030020E,149,B341X,PORRERES,
ILLES BALEARS,393118N,030109E,120,B346X,PORRERES,08310
ILLES BALEARS,392421N,030351E,40,B362X,"CAMPOS, CAN SION",
ILLES BALEARS,392104N,030043E,3,B373X,"CAMPOS, SALINES LLEVANT",
ILLES BALEARS,390808N,025612E,165,B398A,"CABRERA, PARQUE NACIONAL DE CABRERA",
ILLES BALEARS,392024N,030845E,45,B410B,SANTANYÍ,
ILLES BALEARS,392452N,031618E,17,B434X,PORTOCOLOM  ,08309
ILLES BALEARS,393749N,032301E,25,B496X,SON SERVERA,
ILLES BALEARS,394119N,032104E,110,B526X,ARTÀ,
ILLES BALEARS,394300N,032841E,57,B569X,CAPDEPERA,08311
ILLES BALEARS,394323N,031643E,99,B603X,ARTÀ-COLÒNIA DE SANT PERE,
ILLES BALEARS,394748N,030617E,2,B605X,"MURO, S'ALBUFERA",
ILLES BALEARS,393325N,031304E,100,B614E,MANACOR,
ILLES BALEARS,393659N,030716E,95,B640X,PETRA,
ILLES BALEARS,393836N,030008E,120,B644B,SINEU,
ILLES BALEARS,393909N,024801E,121,B656A,SANTA MARÍA DEL CAMÍ,
ILLES BALEARS,394041N,025226E,105,B662X,BINISSALEM,
ILLES BALEARS,394734N,024716E,842,B684A,"ESCORCA, SON TORRELLA",
BALEARES,394454N,030055E,40,B691,LA PUEBLA (SA CANOVA),
BALEARES,394457N,030100E,32,B691Y,SA POBLA,08312
ILLES BALEARS,395237N,030127E,45,B760X,POLLENÇA,
ILLES BALEARS,395434N,030601E,2,B780X,PORT DE POLLENÇA,
ILLES BALEARS,395234N,041926E,78,B800X,"LA MOLA, MAÓ",
ILLES BALEARS,395926N,040511E,80,B825B,ES MERCADAL,
ILLES BALEARS,395934N,035114E,20,B860X,CIUTADELLA,
ILLES BALEARS,395641N,035724E,43,B870C,"CIUTADELLA, CALA GALDANA",
BALEARES,395117N,041256E,91,B893,"MENORCA, AEROPUERTO",08314
ILLES BALEARS,390322N,012933E,110,B908X,SANT JOAN DE LABRITJA,
ILLES BALEARS,385747N,011917E,32,B925,SANT ANTONI DE PORTMANY,
ILLES BALEARS,385235N,012304E,6,B954,"IBIZA, AEROPUERTO",08373
ILLES BALEARS,385522N,012629E,3,B957,EIVISSA,
ILLES BALEARS,384137N,012749E,24,B986,FORMENTERA,
LAS PALMAS,285811N,134125W,376,C018J,TÍAS,
LAS PALMAS,285132N,135006W,6,C019V,YAIZA PLAYA BLANCA,
LAS PALMAS,285707N,133601W,14,C029O,LANZAROTE AEROPUERTO,60040
LAS PALMAS,290837N,132921W,277,C038N,HARÍA,
LAS PALMAS,290233N,134051W,275,C048W,TINAJO,
STA. CRUZ DE TENERIFE,284521N,175343W,2223,C101A,ROQUE DE LOS MUCHACHOS,
STA. CRUZ DE TENERIFE,284538N,175908W,684,C117A,PUNTAGORDA,
STA. CRUZ DE TENERIFE,284029N,175612W,733,C117Z,TIJARAFE,
STA. CRUZ DE TENERIFE,283914N,175111W,844,C126A,EL PASO,
STA. CRUZ DE TENERIFE,282718N,175028W,19,C129V,FUENCALIENTE,
SANTA CRUZ DE TENERIFE,283545N,175455W,62,C129Z,TAZACORTE,60004
SANTA CRUZ DE TENERIFE,283759N,174518W,33,C139E,LA PALMA AEROPUERTO,60005
STA. CRUZ DE TENERIFE,284817N,174656W,362,C148F,SAN ANDRÉS Y SAUCES,
LAS PALMAS,280257N,142129W,15,C229J,PÁJARA,
LAS PALMAS,281231N,140123W,1,C239N,"TUINEJE,PUERTO GRAN TARAJAL",
LAS PALMAS,282501N,140109W,252,C248E,ANTIGUA,
LAS PALMAS,282641N,135147W,25,C249I,FUERTEVENTURA AEROPUERTO,60035
LAS PALMAS,283645N,135554W,217,C258K,LA OLIVA,
STA. CRUZ DE TENERIFE,280625N,171457W,1474,C314Z,"VALLEHERMOSO, ALTO IGUALERO  ",
STA. CRUZ DE TENERIFE,280742N,171854W,916,C316I,ARURE,
STA. CRUZ DE TENERIFE,281044N,171247W,765,C317B,AGULO,
STA. CRUZ DE TENERIFE,280315N,171823W,190,C319W,"VALLEHERMOSO, DAMA",
STA. CRUZ DE TENERIFE,280949N,171139W,252,C328W,HERMIGUA,
STA. CRUZ DE TENERIFE,280154N,171239W,219,C329B,"LA GOMERA, AEROPUERTO",60007
STA. CRUZ DE TENERIFE,280523N,170641W,15,C329Z,SAN SEBASTIÁN DE LA GOMERA,60008
STA. CRUZ DE TENERIFE,281327N,163734W,2150,C406G,"LA OROTAVA, CAÑADAS TEIDE",
STA. CRUZ DE TENERIFE,281311N,164219W,2071,C412N,CITFAGRO_89_CHAVAO,
STA. CRUZ DE TENERIFE,281819N,164820W,990,C415A,CITFAGRO_64_HOYOS,
STA. CRUZ DE TENERIFE,281400N,164721W,735,C417J,CITFAGRO_74_CHIO,
STA. CRUZ DE TENERIFE,281252N,164723W,476,C418I,CITFAGRO_05_GUIAISO1,
STA. CRUZ DE TENERIFE,281201N,164547W,700,C418L,CITFAGRO_76_POZO,
SANTA CRUZ DE TENERIFE,281225N,164731W,403,C419L,LOMO DEL BALO,60024
STA. CRUZ DE TENERIFE,280453N,164238W,130,C419X,ADEJE,
STA. CRUZ DE TENERIFE,281019N,163905W,1833,C422A,CITFAGRO_94_LOSTOPOS,
STA. CRUZ DE TENERIFE,281327N,163116W,1654,C423R,CITFAGRO_90_PICACHO,
STA. CRUZ DE TENERIFE,280839N,163741W,1258,C426E,CITFAGRO_13_VILAFLOR,
STA. CRUZ DE TENERIFE,280737N,163621W,880,C426I,CITFAGRO_77_PINAL,
STA. CRUZ DE TENERIFE,281301N,162926W,930,C426R,CITFAGRO_09_HELECHO,
STA. CRUZ DE TENERIFE,281051N,162860W,418,C428T,ARICO,
STA. CRUZ DE TENERIFE,280752N,162821W,135,C428U,CITFAGRO_01_ARICO,
SANTA CRUZ DE TENERIFE,280249N,163340W,64,C429I,TENERIFE SUR AEROPUERTO,60025
SANTA CRUZ DE TENERIFE,281830N,162959W,2369,C430E,IZAÑA,60010
STA. CRUZ DE TENERIFE,281935N,162420W,290,C436I,CITFAGRO_54_TOPONEGRO,
STA. CRUZ DE TENERIFE,282214N,162351W,525,C436L,CITFAGRO_96_ARAYA,
STA. CRUZ DE TENERIFE,281611N,162511W,500,C437E,CITFAGRO_81_MENA,
STA. CRUZ DE TENERIFE,282133N,162406W,463,C438N,CANDELARIA,
SANTA CRUZ DE TENERIFE,281906N,162256W,115,C439J,GÜÍMAR,60018
STA. CRUZ DE TENERIFE,283135N,161649W,868,C446G,"SAN CRISTÓBAL DE LA LAGUNA,LLANO DE LOS LOROS",
SANTA CRUZ DE TENERIFE,282839N,161946W,632,C447A,TENERIFE NORTE AEROPUERTO,60015
STA. CRUZ DE TENERIFE,282745N,161624W,136,C448C,CITFAGRO_92_SANTACRUZ,
SANTA CRUZ DE TENERIFE,282748N,161519W,36,C449C,STA.CRUZ DE TENERIFE,60020
STA. CRUZ DE TENERIFE,283029N,161144W,19,C449F,ANAGA ,
STA. CRUZ DE TENERIFE,283336N,161341W,305,C449Q,CITFAGRO_97_TAGANANA,
STA. CRUZ DE TENERIFE,282341N,162600W,1744,C453I,CITFAGRO_88_GAITERO,
STA. CRUZ DE TENERIFE,282142N,162949W,1065,C455M,CITFAGRO_87_AGUAMANSA,
STA. CRUZ DE TENERIFE,282714N,162431W,922,C456E,CITFAGRO_10_RAVELO,
STA. CRUZ DE TENERIFE,282141N,163248W,906,C456P,CITFAGRO_70_BENIJO,
STA. CRUZ DE TENERIFE,282222N,163231W,551,C456R,CITFAGRO_69_SUERTE,
STA. CRUZ DE TENERIFE,282658N,162617W,650,C457E,CITFAGRO_67_MATANZA,
STA. CRUZ DE TENERIFE,282604N,162716W,567,C457I,LA VICTORIA DE ACENTEJO,
STA. CRUZ DE TENERIFE,282947N,162512W,310,C458A,TACORONTE,
STA. CRUZ DE TENERIFE,282207N,163441W,595,C458U,CITFAGRO_71_PALOB,
STA. CRUZ DE TENERIFE,282505N,163254W,25,C459Z,PUERTO DE LA CRUZ,60012
STA. CRUZ DE TENERIFE,282021N,164740W,878,C466O,CITFAGRO_91_CUBO,
STA. CRUZ DE TENERIFE,282112N,164230W,525,C467I,CITFAGRO_73_REDON,
STA. CRUZ DE TENERIFE,282201N,164320W,218,C468I,CITFAGRO_98_ELDRAGO,
STA. CRUZ DE TENERIFE,282125N,164805W,450,C468O,CITFAGRO_62_TRIGO,
STA. CRUZ DE TENERIFE,282223N,163733W,667,C468X,SAN JUAN DE LA RAMBLA,
LAS PALMAS,275836N,153502W,1702,C611E,VEGA DE SAN MATEO,
LAS PALMAS,280025N,153556W,1514,C612F,"TEJEDA, CRUZ DE TEJEDA",
LAS PALMAS,275942N,153657W,1060,C614H,TEJEDA,60038
LAS PALMAS,280003N,154850W,10,C619I,LA ALDEA DE SAN NICOLÁS,60027
LAS PALMAS,280604N,154246W,5,C619X,AGAETE,
LAS PALMAS,280004N,154827W,13,C619Y,LA ALDEA DE SAN NICOLÁS,60027
LAS PALMAS,275536N,153559W,1220,C623I,"SAN BARTOLOME TIRAJANA, CUEVAS DEL PINAR",
LAS PALMAS,275125N,153842W,806,C625O,"SAN BARTOLOME TIRAJANA, LOMO PEDRO ALFONSO",
LAS PALMAS,275432N,154612W,318,C628B,"LA ALDEA DE SAN NICOLÁS, TASARTE",
LAS PALMAS,274648N,154240W,10,C629Q,"MOGÁN, PUERTO RICO",
LAS PALMAS,274859N,154551W,10,C629X,"MOGÁN, PUERTO",60036
LAS PALMAS,275512N,153427W,960,C635B,"SAN BARTOLOME TIRAJANA, LAS TIRAJANAS",
LAS PALMAS,274529N,153432W,45,C639M,"MASPALOMAS, C. INSULAR TURISMO ",
LAS PALMAS,274845N,152711W,41,C639U,"SAN BARTOLOME TIRAJANA, EL MATORRAL",
LAS PALMAS,275409N,152714W,306,C648C,AGÜIMES,
LAS PALMAS,275915N,152728W,344,C648N,"TELDE, CENTRO FORESTAL DORAMAS",
LAS PALMAS,275504N,152343W,24,C649I,GRAN CANARIA AEROPUERTO,60030
LAS PALMAS,275912N,152240W,9,C649R,"TELDE, MELENARA",
LAS PALMAS,280431N,153250W,683,C656V,TEROR,
LAS PALMAS,280430N,152703W,269,C658L,LAS PALMAS DE G.C. (TAFIRA CMT),
LAS PALMAS,280441N,152712W,269,C658X,"LAS PALMAS DE GRAN CANARIA, TAFIRA",
LAS PALMAS,280523N,152458W,55,C659H,"LAS PALMAS DE GRAN CANARIA, SAN CRISTOBAL",60029
LAS PALMAS,280647N,152517W,15,C659M,"LAS PALMAS DE GRAN CANARIA, PL. DE LA FERIA",60032
LAS PALMAS,280356N,153356W,900,C665T,VALLESECO,
LAS PALMAS,280540N,154030W,352,C668V,AGAETE - SUERTE ALTA,
LAS PALMAS,280830N,153024W,86,C669B,ARUCAS,
LAS PALMAS,274409N,153545W,6,C689E,MASPALOMAS,60037
LAS PALMAS,291355N,133007W,10,C839I,TEGUISE,
LAS PALMAS,291347N,133037W,19,C839X,LA GRACIOSA,60045
STA. CRUZ DE TENERIFE,274308N,175841W,948,C916Q,"EL PINAR, DEPÓSITO",
STA. CRUZ DE TENERIFE,274331N,180654W,713,C917E,"EL PINAR, LA DEHESA",
STA. CRUZ DE TENERIFE,273955N,180107W,98,C919K,TACORON-LAPILLAS-TORTUGA,
STA. CRUZ DE TENERIFE,274608N,175737W,1070,C925F,"SAN ANDRÉS, VALVERDE",
STA. CRUZ DE TENERIFE,274839N,175510W,670,C928I,VALVERDE,
SANTA CRUZ DE TENERIFE,274908N,175320W,32,C929I,HIERRO AEROPUERTO,60001
STA. CRUZ DE TENERIFE,274523N,180627W,20,C939T,"FRONTERA, SABINOSA",
TARRAGONA,405729N,005217E,32,0002I,VANDELLÒS  ,08169
TARRAGONA,411250N,005748E,406,0009X,ALFORJA,
TARRAGONA,410842N,010949E,71,0016A,REUS AEROPUERTO,08175
TARRAGONA,410915N,010632E,118,0016B,REUS (CENTRE LECTURA),
TARRAGONA,411735N,011539E,233,0034X,VALLS,
TARRAGONA,410726N,011457E,55,0042Y,TARRAGONA ,
BARCELONA,412501N,013109E,632,0061X,PONTONS,
BARCELONA,411949N,014037E,177,0066X,VILAFRANCA DEL PENEDÈS,
BARCELONA,411438N,015109E,58,0073X,SITGES,
BARCELONA,411734N,020412E,4,0076,BARCELONA AEROPUERTO,08181
BARCELONA,420605N,015127E,682,0092X,BERGA,
BARCELONA,415159N,015221E,361,0106X,BALSARENY,
BARCELONA,420025N,020136E,700,0114X,PRATS DE LLUÇANÈS,
BARCELONA,414848N,020543E,742,0120X,MOIÀ,
BARCELONA,414312N,015025E,291,0149D,MANRESA (LA CULLA),
BARCELONA,414312N,015025E,291,0149X,MANRESA,08174
BARCELONA,413540N,015021E,738,0158O,MONTSERRAT,
BARCELONA,413540N,015021E,738,0158X,MONISTROL DE MONTSERRAT,
BARCELONA,413444N,013704E,313,0171X,IGUALADA,08172
BARCELONA,412429N,015306E,647,0194D,"CORBERA, PUIG D'AGULLES",08179
BARCELONA,412506N,020727E,408,0200E,"BARCELONA, FABRA",
BARCELONA,412326N,021200E,26,0201D,"BARCELONA, PORT OLÍMPIC",08180
BARCELONA,412230N,021026E,11,0201X,"BARCELONA, DRASSANES",
BARCELONA,413646N,021006E,175,0222X,CALDES DE MONTBUI,
BARCELONA,413125N,020611E,146,0229I,SABADELL AEROPUERTO,08192
BARCELONA,413018N,022145E,56,0244X,VILASSAR DE DALT,
BARCELONA,413514N,023224E,74,0252D,ARENYS DE MAR,08186
BARCELONA,413903N,024149E,40,0255B,SANTA SUSANNA,08188
BARCELONA,414536N,022552E,936,0260X,FOGARS DE MONTCLÚS,
GIRONA,414037N,024818E,45,0281Y,BLANES,
GIRONA,414828N,030151E,14,0284X,CASTELL D'ARO,
GIRONA,415804N,030232E,51,0294B,LA BISBAL (D'EMPORDA 3),
GIRONA,421530N,022152E,851,0312X,SANT PAU DE SEGÚRIES,
GIRONA,421901N,020610E,1151,0320I,PLANOLES,
GIRONA,421322N,021002E,731,0321,CAMPDEVANOL,
GIRONA,421129N,021146E,675,0324A,RIPOLL,08118
BARCELONA,415049N,021321E,607,0341,TONA (ESCOLA),
BARCELONA,415049N,021321E,607,0341X,TONA,
BARCELONA,415534N,021903E,578,0349,SANT JULIÀ  DE VILATORTA,08119
GIRONA,420310N,023304E,337,0360X,LES PLANES D'HOSTOLES,
GIRONA,415251N,023048E,810,0363X,SANT HILARI,
GIRONA,415442N,024548E,143,0367,GIRONA AEROPUERTO,08184
GIRONA,415848N,024931E,95,0370B,"GIRONA, ANTIC INSTITUT",
GIRONA,415820N,024910E,76,0370E,GIRONA,
GIRONA,420616N,024549E,157,0372C,PORQUERES,08120
GIRONA,420314N,031205E,1,0385X,L'ESTARTIT,
GIRONA,421238N,022819E,350,0394X,LA VALL DE BIANYA,
GIRONA,421329N,030535E,2,0411X,CASTELLÓ D'EMPÚRIES,
GIRONA,422313N,024520E,355,0413A,MAÇANET DE CABRENYS,
GIRONA,422324N,030022E,100,0421E,ESPOLLA 'LES ALBERES',
GIRONA,422324N,030022E,100,0421X,ESPOLLA,
GIRONA,421533N,025737E,45,0429X,FIGUERES,
GIRONA,421909N,031856E,75,0433D,CABO DE CREUS,08121
NAVARRA,430809N,013235W,183,1002Y,"BAZTAN, IRURITA",08030
NAVARRA,431643N,014033W,54,1010X,BERA,
GIPUZKOA,431935N,014748W,120,1012P,IRUN,
GIPUZKOA,432125N,014732W,4,1014,"HONDARRIBIA, MALKARROA",08029
GIPUZKOA,432125N,014732W,4,1014A,DONOSTIA / SAN SEBASTIÁN AEROPUERTO,08029
GIPUZKOA,431250N,015244W,165,1021X,"ERRENTERIA, AÑARBE",
NAVARRA,431244N,014752W,305,1021Y,ARTICUTZA (AUTOMATICA),
GIPUZKOA,431823N,020228W,250,1024E,"DONOSTIA / SAN SEBASTIÁN, IGELDO",08027
GIPUZKOA,430056N,021524W,255,1025A,SEGURA,
GIPUZKOA,430317N,021355W,255,1025X,"BEASAIN, ARRIARAN",
GIPUZKOA,430329N,021103W,290,1026X,ORDIZIA,
NAVARRA,430506N,015703W,520,1033X,ARESO,
GIPUZKOA,430306N,022014W,460,1037X,LEGAZPI,
GIPUZKOA,430448N,021903W,420,1037Y,ZUMARRAGA,08037
GIPUZKOA,431021N,021602W,180,1038X,AZPEITIA,
GIPUZKOA,431808N,021504W,28,1041A,ZUMAIA,08026
ARABA/ALAVA,430328N,023523W,617,1044X,"ARAMAIO, ETXAGUEN",
GIPUZKOA,430130N,022757W,308,1048X,ARETXABALETA,
GIPUZKOA,430818N,022945W,470,1049N,ELGETA,
GIPUZKOA,431233N,022448W,119,1050J,ELGOIBAR,08036
GIPUZKOA,431902N,022350W,150,1052A,MUTRIKU,
BIZKAIA,432237N,023037W,12,1055B,LEKEITIO,08024
BIZKAIA,432033N,024016W,45,1056K,FORUA,
BIZKAIA,432714N,024510W,93,1057B,MATXITXAKO,
BIZKAIA,432230N,030118W,81,1059X,PUNTA GALEA,08059
ARABA/ALAVA,430301N,030020W,240,1060X,AMURRIO,
BIZKAIA,430547N,025137W,270,1064L,"OROZKO, IBARRA",
BIZKAIA,430557N,023839W,747,1069Y,"ABADIÑO, URKIOLA",
BIZKAIA,431210N,024222W,100,1074C,AMOREBIETA-ETXANO,
BIZKAIA,431050N,031235W,210,1078C,BALMASEDA,
BIZKAIA,431212N,030617W,208,1078I,GÜEÑES,08035
BIZKAIA,431753N,025423W,42,1082,BILBAO AEROPUERTO,08025
BIZKAIA,431647N,031007W,177,1083B,SOPUERTA,
CANTABRIA,432341N,031402W,45,1083L,CASTRO URDIALES,08020
